timestamp,transaction_id,customer_id,transaction_total,merchant_category,payment_method,region,total_quantity,total_quantity_7d,reported_transaction_total,is_fraud,reasoning
2024-09-14,661dded2,76f6e63b3e664d3daefdf63e4f511646,6643972,Clothing,Credit Card,Surabaya,46,50.0,6643972,0,"Neither condition was met. 0 equals 0 (no discrepancy), and 0.92 is less than 2.0 (no significant quantity increase)."
2024-12-30,08a19d6a,70153d9ed06641c688cf3f18d15d0b78,5348844,Groceries,Debit Card,Bandung,43,23.76,5348844,0,The first condition (0 != 0) is impossible as 0 always equals 0. The second condition (1.81 >= 2.0) is false since 1.81 is less than 2.0. Neither fraud indicator is met.
2025-01-28,0e7b5c27,83f7d3ae3e6c4539a48acd59b1d4ae5e,1523903,Groceries,Bank Transfer,Surabaya,4,4.17,1523903,0,"Neither condition is met. The first condition checks if 0 != 0 (which is always false), and the second condition checks if 0.96 >= 2.0 (which is also false). Therefore, no fraud indicators are present."
2025-09-22,aba521c0,0ecfff90aae346999281c584944b241e,8429969,Clothing,Credit Card,Bandung,40,38.46,8429969,0,"Neither condition was met. The value 0 is equal to 0, and 1.04 is less than 2.0."
2021-06-08,7a022f30,b5bc28295cee4ed7abe7efee8dce89f9,2370554,Clothing,Bank Transfer,Bandung,36,33.96,2370554,0,"Neither condition is met. The first condition checks if 0 ≠ 0 (which is always false), and the second condition checks if 1.06 ≥ 2.0 (which is false). Therefore, no fraud indicators are present."
2023-11-19,ef59673f,17e1ed0d8e4d4742b6881e3c3d298fa4,1335308,Electronics,PayPal,Surabaya,7,1.41,1335308,1,"The transaction is fraudulent because 4.96 is greater than or equal to 2.0, meeting the second condition for potential fraud."
2025-06-16,a134c01a,dea52e830c7c4eec87fd0addf6381e04,3037125,Clothing,Bank Transfer,Jakarta,44,36.07,3037125,0,"Neither condition was met. The value 0 is equal to 0, and 1.22 is less than 2.0."
2021-04-16,f3cf259a,24c9768b663a40b1acad526f6ddc4848,5161277,Groceries,Bank Transfer,Medan,89,47.59,5161277,0,"Neither condition is met. The first condition (0 != 0) is false because 0 equals 0. The second condition (1.87 >= 2.0) is also false. Therefore, the transaction is not fraudulent."
2021-09-05,afe8019d,1c52711dd6bf4278a7ed04f4617dab88,3955228,Clothing,Debit Card,Bandung,32,45.07,3955228,0,"Neither condition was met. The first condition (0 != 0) is inherently false, and 0.71 is less than 2.0, so no fraud indicators were detected."
2024-09-18,a4395b6b,00d4fc94a5aa432b942b9d8ade9a71f4,3951084,Clothing,Debit Card,Jakarta,73,41.71,3951084,0,"Neither condition is met. 0 is equal to 0, and 1.75 is less than 2.0."
